ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik,roi,p/e,beta,electricity,Diesel ,Business Travel,Carbon Footprint
acrx,AcelRx Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/04b72c22-80ca-11ea-a317-00000000092a.png,http://www.acelrx.com,B,Medium,B,Medium,BB,Medium,200,237,300,737,16-04-2022,B,Medium,1427925,0.195421816,26.74547359,-0.74271801,15856.55306,675.3671506,7426.857239,5.418270218
act,Enact Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static4.finnhub.io/file/publicdatany2/stock_logo/ACT_5038081287.png,https://enactmi.com/,A,High,BB,Medium,BB,Medium,540,328,315,1183,20-04-2022,BBB,High,1823529,1.325384644,5.273966504,2.570024022,19969.43557,672.965538,7119.575411,5.335762818
actg,Acacia Research Corp,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/9a284398-80df-11ea-8a34-00000000092a.png,http://acaciaresearch.com/,B,Medium,B,Medium,B,Medium,200,200,275,675,16-04-2022,B,Medium,934549,0.238845078,11.81053784,1.074307376,9029.435976,1087.559689,5586.804225,7.179182383
acva,ACV Auctions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Commercial Services and Supplies,https://static.finnhub.io/logo/d1e18ee9f9b952b21566aa5cf9af8ffba761e9085e9de40fbe30fa6b65b8d785.png,https://www.acvauctions.com/,B,Medium,B,Medium,BB,Medium,235,262,315,812,10-06-2022,BB,Medium,1637873,0.821135185,11.01443668,1.573729454,24446.3075,891.1591239,7017.430841,6.485242614
adag,Adagene Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/5dc6728a7d01cd93139ce716cce8147be340b68b00025bc3471e9350c8487792.png,https://www.adagene.com/,B,Medium,BB,Medium,BB,Medium,295,301,305,901,10-06-2022,BBB,High,1818838,0.227191812,22.73895225,-0.035335999,16501.53138,709.9861093,4835.37487,4.982517046
acxp,Acurx Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/dae37e820f89b2050d5105bea48bf5d491196bc6ef42b3249f3bf29ca14589ca.png,https://www.acurxpharma.com/,B,Medium,BB,Medium,BB,Medium,235,301,305,841,11-06-2022,BB,Medium,1736243,0.814613871,10.00728389,-0.057377376,18610.72966,925.9907105,4486.465499,6.058672658
adbe,Adobe Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/9b4b19c2-80df-11ea-becf-00000000092a.png,https://www.adobe.com/,B,Medium,B,Medium,B,Medium,200,221,200,621,16-04-2022,B,Medium,796343,0.392145031,5.479243056,-0.897751421,13024.37559,871.3317229,9394.239272,6.937979836
adap,Adaptimmune Therapeutics PLC,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/c2ef9c38-80d1-11ea-b201-00000000092a.png,https://www.adaptimmune.com/,BB,Medium,B,Medium,BB,Medium,365,283,305,953,16-04-2022,BBB,High,1621227,1.464016602,8.813347409,-0.122727661,8421.212084,1078.140835,3966.998646,6.739335762
adma,ADMA Biologics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/cba1b436-80d0-11ea-bae6-00000000092a.png,https://www.admabiologics.com/,B,Medium,B,Medium,BB,Medium,240,264,320,824,16-04-2022,BB,Medium,1368514,1.298559191,29.81747937,1.210017122,19154.68321,734.6231439,5653.813723,5.313650028
ades,Advanced Emissions Solutions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Chemicals,https://static.finnhub.io/logo/d0ea69a2118af9d978c84b2f19242e5a5f3275cf41c49498003f2ffb80911f23.png,https://www.ada-cs.com/Home/default.aspx,B,Medium,B,Medium,BB,Medium,205,201,300,706,16-04-2022,B,Medium,1515156,0.02374881,17.5619954,0.291632484,12053.62287,600.2051656,7459.99155,5.019551282
adi,Analog Devices Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/638498fa-80eb-11ea-8d04-00000000092a.png,https://www.analog.com/,BB,Medium,BB,Medium,BB,Medium,350,318,300,968,16-04-2022,BBB,High,6281,0.72046646,22.9664247,2.888891676,6571.761119,907.8984246,6489.460532,6.430377845
adil,Adial Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/e0366ab8-80da-11ea-9da8-00000000092a.png,https://www.adialpharma.com/,B,Medium,B,Medium,BB,Medium,200,203,300,703,10-06-2022,B,Medium,1513525,0.868881778,18.89037677,2.471728425,8979.850028,1116.613226,3060.41014,6.728525173
admp,Adamis Pharmaceuticals Corp,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/2653d72e-80cf-11ea-b9db-00000000092a.png,http://www.adamispharmaceuticals.com/,B,Medium,B,Medium,B,Medium,285,204,215,704,16-04-2022,B,Medium,887247,0.226190156,22.68802967,2.028504996,17316.28218,672.9966377,5218.364735,4.876985797
acer,Acer Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/da0a6c40-80e0-11ea-81ae-00000000092a.png,https://acertx.com/,B,Medium,B,Medium,BB,Medium,223,291,310,824,10-06-2022,BB,Medium,1069308,1.194801716,6.778147007,0.785881882,23338.72773,862.2587929,4041.169682,5.614926581
adoc,Edoc Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,N/A,,,B,Medium,BB,Medium,BB,Medium,215,301,300,816,16-04-2022,BB,Medium,1824884,0.26561119,24.27849341,0.710383136,9809.614734,679.9671766,7115.241513,5.362091645
adus,Addus Homecare Corp,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/20ba9a37b3127f14370410e76dcf5f2e7db9e068cc08f2da0e740aa7aaa6bf52.png,https://addus.com/,B,Medium,B,Medium,B,Medium,210,215,218,643,16-04-2022,B,Medium,1468328,1.071114877,15.668843,0.83446014,12621.49814,927.6138604,6093.939093,6.447177172
acgl,Arch Capital Group Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,https://static.finnhub.io/logo/8c4d69f6-80df-11ea-8233-00000000092a.png,https://www.archgroup.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,16-04-2022,BBB,High,947484,0.804099568,21.6840391,0.648113865,13999.84774,1168.954626,3566.407556,7.135534454
adpt,Adaptive Biotechnologies Corp,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,https://static.finnhub.io/logo/49f91794-80da-11ea-be7a-00000000092a.png,https://www.adaptivebiotech.com,B,Medium,BB,Medium,B,Medium,260,348,260,868,16-04-2022,BB,Medium,1478320,0.486864294,11.78529617,-0.316007271,14454.98041,698.5318638,3388.601799,4.571850202
adsk,Autodesk Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/99d251e4-80df-11ea-ad7f-00000000092a.png,https://www.autodesk.com/,A,High,BB,Medium,BB,Medium,555,304,310,1169,16-04-2022,BBB,High,769397,0.176895521,24.24996625,0.250746995,19476.07732,719.9953384,5824.984002,5.276647251
adp,Automatic Data Processing Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/987cc1f6-80df-11ea-96e8-00000000092a.png,https://www.adp.com/,A,High,BB,Medium,B,Medium,500,300,200,1000,25-07-2022,BBB,High,8670,0.095855584,13.41186861,2.63321975,7358.112126,661.3705431,3764.713483,4.455835459
adtx,Aditxt Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/278ebd47277db15b770d06958e2e2b981b0f75047d9485ef7fd67eabe0c557f0.png,https://aditxt.com/,B,Medium,B,Medium,BB,Medium,210,224,305,739,10-06-2022,B,Medium,1726711,0.124218187,15.26650666,1.679137707,8438.772161,861.8506242,8678.329799,6.71075727
adv,Advantage Solutions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static.finnhub.io/logo/4191147864cd494d9602ea7d462b368568307c389e3447f9d958e091675fc1b7.png,https://advantagesolutions.net/,A,High,B,Medium,BB,Medium,515,269,328,1112,20-04-2022,BBB,High,1776661,1.391568764,10.45568655,2.937444302,24305.95777,819.3289609,5067.111,5.632015828
advm,Adverum Biotechnologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/2a8c64fe-80d0-11ea-9f54-00000000092a.png,https://adverum.com/,B,Medium,BB,Medium,B,Medium,262,321,235,818,16-04-2022,BB,Medium,1501756,0.190430736,19.48132445,1.756770351,22715.36204,1019.73751,5415.575348,6.788246498
aehr,Aehr Test Systems,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/9a8fe21e-80df-11ea-8837-00000000092a.png,https://www.aehr.com/,B,Medium,B,Medium,BB,Medium,290,262,300,852,16-04-2022,BB,Medium,1040470,0.263342549,5.284973924,-0.018490296,22597.02303,901.8201844,3907.858316,5.794239207
aehl,Antelope Enterprise Holdings Ltd,CNY,NASDAQ NMS - GLOBAL MARKET,Building,https://static.finnhub.io/logo/9a75e4385b34c0cb39ac72f06791b387f2ee941735bc144041b63d26403c5301.png,https://www.aehltd.com/,B,Medium,B,Medium,BB,Medium,238,237,325,800,10-06-2022,BB,Medium,1470683,0.590884515,14.32774485,2.080778921,7233.787482,820.7716351,8922.30373,6.547922647
aei,Alset Ehome International Inc,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,https://static.finnhub.io/logo/98c8d7c249f43e2d9209af2a93fb646dc774a1a85a30840fc88e94859962870c.png,http://www.hfenterp.com,A,High,B,Medium,B,Medium,520,207,210,937,20-04-2022,BBB,High,1750106,1.073687301,20.88131358,-0.388774991,5380.091233,1020.982036,4999.004415,6.677604863
aeis,Advanced Energy Industries Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,https://static.finnhub.io/logo/9ae27426-80df-11ea-a9fa-00000000092a.png,https://www.advancedenergy.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,16-04-2022,BBB,High,927003,0.772425827,10.99303395,2.842312764,10008.97984,1014.991352,3272.950662,6.235870783
aep,American Electric Power Company Inc,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,https://static.finnhub.io/logo/65ca8abe-80eb-11ea-9cac-00000000092a.png,https://www.aep.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,20-04-2022,BBB,High,4904,0.152605771,25.16117233,2.021154027,18363.00959,812.4841672,5601.696116,5.717685214
aemd,Aethlon Medical Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/63fe5910-80d2-11ea-bdd5-00000000092a.png,https://www.aethlonmedical.com/,B,Medium,B,Medium,BB,Medium,200,262,315,777,16-04-2022,BB,Medium,882291,0.276985186,21.8826632,2.456258936,13677.66751,1185.142077,3157.899086,7.12393498
